mode,keys_checked,checks_performed,avg_before_if_ns,avg_after_if_ns,avg_total_ns,checks_before_if,checks_after_if, total_decaps_time
Classic,8,6,6380411.50,12463764.00,8458193.50,6,1,63809411.00
Classic,8,3,6432138.67,12938097.00,10745832.67,3,1,45481855.00
Classic,8,5,6388404.60,12745515.00,8938128.80,5,1,57386429.00
Classic,8,7,6378450.29,12707799.00,8194321.29,7,1,70049909.00
Classic,8,7,6463634.71,12754489.00,8286257.29,7,1,70997552.00
Classic,8,6,6358738.83,12788530.00,8490706.67,6,1,63892519.00
Classic,8,2,6340761.50,12792462.00,12738077.50,2,1,38521145.00
Classic,8,4,6443608.75,12698194.00,9618919.00,4,1,51398820.00
Classic,8,6,6437659.17,12740023.00,8561528.33,6,1,64069815.00
Classic,8,2,6433709.00,12835544.00,12852322.50,2,1,38730795.00
Classic,8,6,6360347.33,12641251.00,8467779.67,6,1,63566712.00
Classic,8,3,6389954.00,12597346.00,10589952.67,3,1,44379256.00
Classic,8,7,6399879.43,12826445.00,8232878.29,7,1,70381250.00
Classic,8,3,6413221.33,12656982.00,10633046.33,3,1,44914459.00
Classic,8,2,6478734.50,12509824.00,12734562.50,2,1,38328794.00
Classic,8,5,6384625.20,12571473.00,8899587.40,5,1,57329585.00
Classic,8,6,6436861.00,12482080.00,8517787.17,6,1,63815159.00
Classic,8,1,6376970.00,13268060.00,19646077.00,1,1,32373151.00
Classic,8,1,6409274.00,12851712.00,19262344.00,1,1,32159134.00
Classic,32,29,6390188.69,12833185.00,6833082.93,29,1,211099134.00
Classic,32,18,6522362.22,12850620.00,7236853.44,18,1,143827517.00
Classic,32,30,6400951.40,13097067.00,6838022.87,30,1,218067729.00
Classic,32,24,6413440.29,12777873.00,6946281.04,24,1,179526049.00
Classic,32,19,6412548.32,12532354.00,7072585.11,19,1,147344559.00
Classic,32,30,6392776.70,12564449.00,6811982.57,30,1,217467190.00
Classic,32,28,6388356.36,12969613.00,6851907.64,28,1,204965843.00
Classic,32,17,6416395.12,12541904.00,7154583.24,17,1,134717388.00
Classic,32,18,6368502.83,13017074.00,7092116.50,18,1,140455555.00
Classic,32,6,6513698.50,12525543.00,8601759.00,6,1,64409562.00
Classic,32,20,6426305.35,12672148.00,7060436.80,20,1,153974780.00
Classic,32,9,6523895.11,12509519.00,7914541.44,9,1,84392889.00
Classic,32,24,6350508.12,12620694.00,6876733.92,24,1,177988980.00
Classic,32,27,6507395.85,12576838.00,6973694.96,27,1,201421249.00
Classic,32,13,6270686.46,12474973.00,7230603.62,13,1,106568042.00
Classic,32,11,6376607.45,12861340.00,7546367.00,11,1,95802648.00
